datetime,close,open,high,low,volume,
"Sep 23, 2020",45,45.17,45.33,44.5,1.98M,
"Sep 22, 2020",45,45.97,46,44.93,1.65M,
"Sep 21, 2020",45.63,46.3,46.37,44.67,4.53M,
"Sep 18, 2020",45.67,45,46.93,45,4.59M,
"Sep 17, 2020",44.17,42.33,44.67,42.33,2.76M,
"Sep 16, 2020",42.57,42,42.63,41.93,797.19K,
"Sep 15, 2020",42.17,42.33,42.63,41.83,1.46M,
"Sep 14, 2020",42.33,41.53,42.33,41.53,5.55M,
"Sep 11, 2020",41.3,40.97,41.37,40.9,1.41M,
"Sep 10, 2020",41,41.43,41.43,40.67,1.39M,
"Sep 09, 2020",41.33,41,41.57,40.87,1.55M,
"Sep 08, 2020",40.73,40.93,41.17,40.67,1.18M,
"Sep 07, 2020",40.93,41.2,41.33,40.67,415.62K,
"Sep 04, 2020",41.33,41.53,41.6,41.13,684.89K,
"Sep 03, 2020",41.5,41.7,41.83,41.5,428.78K,
"Sep 02, 2020",41.63,42,42,41.47,1.12M,
"Aug 31, 2020",41.83,41.83,41.97,41.6,607.77K,
"Aug 28, 2020",41.63,41.83,41.83,41.07,869.30K,
"Aug 27, 2020",41.63,42.07,42.3,41.5,1.88M,
"Aug 26, 2020",42,42,42.3,41.97,2.45M,
"Aug 25, 2020",42,42.33,42.33,41.97,1.07M,
"Aug 24, 2020",42.27,42.67,42.67,42,1.07M,
"Aug 21, 2020",42.3,42.67,42.73,42,2.11M,
"Aug 20, 2020",42.3,42.67,42.83,42.3,1.67M,
"Aug 19, 2020",42.57,42.67,42.7,42.33,1.33M,
"Aug 18, 2020",42.67,42.83,42.83,42.17,1.53M,
"Aug 17, 2020",42.87,43,43.33,42.57,659.24K,
"Aug 14, 2020",42.9,43,43.33,42.83,3.30M,
"Aug 13, 2020",43.03,42.53,43.1,42.33,2.28M,
"Aug 12, 2020",42.47,41.67,42.67,41.63,2.36M,
"Aug 11, 2020",41.6,41.07,41.67,41,6.09M,
"Aug 10, 2020",41.17,41.63,41.67,40.93,666.55K,
"Aug 07, 2020",41.53,41.67,42.1,41.2,1.58M,
"Aug 06, 2020",41.67,41.67,41.67,41.3,1.22M,
"Aug 05, 2020",41.33,41.33,41.83,40.97,633.76K,
"Aug 04, 2020",41.33,40.7,41.33,40.7,778.33K,
"Jul 31, 2020",40.67,40.5,40.8,40.47,1.76M,
"Jul 30, 2020",40.47,40.6,40.67,40.27,339.98K,
"Jul 29, 2020",40.5,41,41,40.3,2.31M,
"Jul 28, 2020",40.83,40.67,41,40.67,416.46K,
"Jul 27, 2020",40.67,40,40.67,39.67,860.73K,
"Jul 24, 2020",39.67,39.63,39.9,39.47,528.71K,
"Jul 23, 2020",39.67,39.67,39.67,39.53,451.05K,
"Jul 22, 2020",39.7,40,40,39.63,691.31K,
"Jul 21, 2020",40,41,41,39.7,2.31M,
"Jul 20, 2020",40.33,40.67,40.83,40.33,1.33M,
"Jul 17, 2020",40.5,40.33,40.63,40.33,962.42K,
"Jul 16, 2020",40.17,39.63,40.17,39.6,792.43K,
"Jul 15, 2020",39.43,39.67,39.67,38.67,533.21K,
"Jul 14, 2020",39.33,38.67,40.2,38.33,1.74M,
"Jul 13, 2020",38.67,39.33,39.5,36.4,1.79M,
"Jul 10, 2020",40.27,40.67,40.83,39.5,2.44M,
"Jul 09, 2020",41.67,41.33,41.67,41,481.31K,
"Jul 08, 2020",40.9,41.67,41.67,40.83,195.63K,
"Jul 07, 2020",41.63,40.33,41.8,40.33,2.98M,
"Jul 06, 2020",40.33,40.67,40.7,39.33,2.98M,
"Jul 03, 2020",40.77,41.17,41.17,40.37,779.13K,
"Jul 02, 2020",41.83,42,42.17,40.03,1.82M,
"Jul 01, 2020",42.17,42.17,42.23,41.93,1.01M,
"Jun 30, 2020",42.17,42.1,42.3,41.83,4.07M,
"Jun 29, 2020",42.13,42,42.3,42,641.29K,
"Jun 26, 2020",42.27,42.17,42.33,41.63,1.22M,
"Jun 25, 2020",42.17,43,43,41.67,1.79M,
"Jun 24, 2020",42.63,43.13,43.13,41.8,1.17M,
"Jun 23, 2020",42.8,42,43.33,42,1.76M,
"Jun 22, 2020",41.67,39.97,42,39.93,1.29M,
"Jun 19, 2020",39.9,39.67,40,39.23,2.21M,
"Jun 18, 2020",39.67,39.33,40.3,39.33,1.52M,
"Jun 17, 2020",39.17,38.37,39.23,38.37,1.12M,
"Jun 16, 2020",38,37,38.27,37,978.79K,
"Jun 15, 2020",37,36.33,37,36.33,1.20M,
"Jun 12, 2020",36.67,36.33,36.97,36,2.33M,
"Jun 11, 2020",36.4,36,36.63,36,3.21M,
"Jun 10, 2020",36.13,36,36.67,35.83,717.07K,
"Jun 09, 2020",36,35.67,36.97,35.67,1.24M,
"Jun 08, 2020",35.57,35.5,35.6,35.33,1.32M,
"Jun 04, 2020",35,35.33,35.33,34.83,762.30K,
"Jun 03, 2020",35.27,35,36,34.33,2.30M,
"Jun 02, 2020",38.73,38.33,39,38.3,4.46M,
"Jun 01, 2020",38,39.53,39.67,37.67,3.62M,
"May 29, 2020",39.67,41,41,39.3,3.12M,
"May 28, 2020",40,40,40.97,39.83,931.51K,
"May 27, 2020",39.23,39.33,40,39.17,2.79M,
"May 26, 2020",39.33,40.67,40.67,38.97,2.32M,
"May 22, 2020",40.53,41.63,43,40.47,3.49M,
"May 21, 2020",41.17,39.93,41.67,39.93,1.57M,
"May 20, 2020",39.67,38.67,39.93,38,10.42M,
"May 19, 2020",38.33,39,39.63,38.2,2.28M,
"May 18, 2020",38.2,37.67,38.67,37.17,2.90M,
"May 15, 2020",36.53,35.33,36.67,35.27,817.68K,
"May 14, 2020",35,33.33,35.33,33.3,3.65M,
"May 13, 2020",34.33,35.3,38,33.33,1.22M,
"May 12, 2020",33,32.33,34.67,32,3.11M,
"May 11, 2020",33.33,33.33,33.33,33.33,132.49K,
"Mar 20, 2020",39.67,43.33,43.33,39.23,2.29M,
"Mar 13, 2020",45.7,46.4,46.67,43,3.88M,
"Mar 12, 2020",46.67,48.67,48.67,46.33,2.36M,
"Mar 11, 2020",49,48.37,49.93,48.37,633.88K,
"Mar 10, 2020",48.53,50,50,48,1.29M,
"Mar 06, 2020",50.83,51.07,51.07,50.73,1.25M,
"Mar 05, 2020",51.17,51.67,51.67,50.83,2.34M,
"Mar 04, 2020",51.67,53,53,51.33,871.59K,
"Mar 03, 2020",53,52.83,53.37,52.83,138.92K,
"Mar 02, 2020",52.67,53.17,53.33,52,654.56K,
"Feb 28, 2020",53.27,53.33,53.5,53,1.19M,
"Feb 27, 2020",53.67,53.33,54.33,53.33,958.59K,
"Feb 26, 2020",53.33,54.5,54.5,53.3,844.25K,
"Feb 25, 2020",54.33,55.33,55.33,54.33,1.18M,
"Feb 24, 2020",55.17,55.37,55.67,55.07,171.51K,
"Feb 20, 2020",55.33,55.83,55.83,55.17,449.71K,
"Feb 19, 2020",55.83,55.67,56.13,55.33,550.07K,
"Feb 18, 2020",55.67,55.5,55.67,54.83,664.36K,
"Feb 17, 2020",55.33,55.67,56.33,55.33,669.89K,
"Feb 14, 2020",55.67,54.5,56.67,54.5,1.36M,
"Feb 13, 2020",53.97,53.33,53.97,53.33,129.02K,
"Feb 12, 2020",53.97,53.33,54,53.03,1.44M,
"Feb 11, 2020",53.33,53.83,53.83,53,677.53K,
"Feb 10, 2020",53.97,53.83,54.33,53.33,470.05K,
"Feb 07, 2020",54,54.33,54.33,53.67,55.85K,
"Feb 06, 2020",54.33,54.37,54.63,54.07,325.91K,
"Feb 05, 2020",54.63,54.63,54.63,54.3,351.95K,
"Feb 03, 2020",54.4,54.63,54.67,54.07,558.02K,
"Jan 31, 2020",54.33,54.67,54.8,54.33,97.20K,
"Jan 30, 2020",54.67,54.67,55.13,54,2.75M,
"Jan 29, 2020",54.83,53.43,55.13,53.33,381.21K,
"Jan 28, 2020",53.67,52.67,54.67,52.67,181.68K,
"Jan 27, 2020",54,54.67,54.7,53.43,101.77K,
"Jan 24, 2020",54.73,55.23,55.33,54.5,385.01K,
"Jan 23, 2020",54.73,53.63,55.67,53.5,750.18K,
"Jan 22, 2020",53.5,52.67,54,52.67,1.14M,
"Jan 21, 2020",52.63,51.37,52.83,51.17,742.40K,
"Jan 20, 2020",51,50.7,51.33,50.67,117.20K,
"Jan 17, 2020",50.83,51,51.17,50.67,258.13K,
"Jan 16, 2020",51,51.5,51.5,50.67,151.72K,
"Jan 14, 2020",51,51.33,51.63,50.83,355.08K,
"Jan 13, 2020",50.67,52.33,52.33,50.47,1.17M,
"Jan 09, 2020",51.63,52.6,53.3,51.6,1.43M,
"Jan 08, 2020",51.5,51.67,52.57,50.7,669.03K,
"Jan 07, 2020",51.67,53.33,53.33,51.53,610.16K,
"Jan 06, 2020",53.27,53.7,53.97,52.9,236.48K,
"Jan 03, 2020",53.93,55,55,53.67,376.13K,
"Jan 02, 2020",54.67,55.63,55.63,54.33,185.72K,
"Dec 31, 2019",54.17,56.33,56.33,54,945.20K,
"Dec 30, 2019",56.33,56.33,56.33,55.83,529.22K,
"Dec 27, 2019",56.2,56.3,56.97,56.2,425.41K,
"Dec 26, 2019",56.2,55.97,56.47,55.57,18.31K,
"Dec 24, 2019",56.3,55.63,56.3,55.03,14.98K,
"Dec 23, 2019",55,55.37,55.67,55,551.03K,
"Dec 20, 2019",55.63,55.67,55.67,55.33,54.98K,
"Dec 19, 2019",55.67,55.87,56.03,55.63,483.92K,
"Dec 18, 2019",56,55.7,56.03,55.67,243.44K,
"Dec 17, 2019",55.73,55.97,55.97,55.67,264.38K,
"Dec 16, 2019",55.7,55.53,56.33,55.53,135.78K,
"Dec 13, 2019",56.43,56.33,56.67,55.93,75.32K,
"Dec 12, 2019",55.9,55.63,56.33,55.63,14.81K,
"Dec 10, 2019",55.63,56.57,56.57,55.33,141.36K,
"Dec 09, 2019",55.67,56,56.67,55.6,1.62M,
"Dec 06, 2019",55.83,56.3,56.33,55.83,98.59K,
"Dec 05, 2019",55.9,57.17,57.17,55.9,963.73K,
